product_id,unit_price,category_code,category_id,brand
1515966223509088642,111.09,electronics.tablet,2.26810540877205e+18,wacom
1515966223509088644,162.01,appliances.environment.water_heater,2.26810539274142e+18,midea
1515966223509088645,175.9,appliances.sewing_machine,2.2681053901745e+18,janome
1515966223509088648,416.64,,2.2681054258932e+18,nikon
1515966223509088649,41.64,,2.26810542840139e+18,huawei
1515966223509088650,479.14,computers.notebook,2.26810540722016e+18,lenovo
1515966223509088651,1157.38,electronics.audio.acoustic,2.26810542204282e+18,jbl
1515966223509088652,1462.94,computers.notebook,2.26810540722016e+18,asus
1515966223509088653,185.16,electronics.video.tv,2.37449891400059e+18,aoc
1515966223509088654,34.7,,2.26810540267353e+18,rowenta
1515966223509088655,462.94,,2.2681054241232e+18,dji
1515966223509088656,439.79,appliances.kitchen.washer,2.2681053899564e+18,lg
1515966223509088659,2.31,,2.26810542352761e+18,barkan
1515966223509088663,10.86,computers.network.router,2.26810540904887e+18,tp-link
1515966223509088665,85.63,appliances.environment.water_heater,2.26810539274142e+18,midea
1515966223509088666,34.7,computers.peripherals.mouse,2.26810540654907e+18,bloody
1515966223509088667,13.87,stationery.cartrige,2.2681054082939e+18,hp
1515966223509088668,273.13,computers.notebook,2.26810540722016e+18,asus
1515966223509088669,715.25,computers.notebook,2.26810540722016e+18,lenovo
1515966223509088670,532.38,electronics.video.tv,2.26810542295718e+18,lg
1515966223509088671,925.67,electronics.smartphone,2.26810542816651e+18,apple
1515966223509088674,462.94,appliances.kitchen.oven,2.2681053885555e+18,bosch
1515966223509088675,462.71,electronics.smartphone,2.26810542816651e+18,apple
1515966223509088676,555.53,apparel.glove,2.26810545845777e+18,xbox
1515966223509088678,856.46,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509088680,46.27,computers.components.hdd,2.26810540867977e+18,samsung
1515966223509088681,99.51,appliances.environment.water_heater,2.26810539274142e+18,thermex
1515966223509088683,92.57,computers.components.hdd,2.26810540867977e+18,samsung
1515966223509088684,162.01,apparel.glove,2.26810545845777e+18,nvidia
1515966223509088685,101.83,appliances.environment.water_heater,2.26810539274142e+18,ariston
1515966223509088688,485.86,electronics.smartphone,2.26810542816651e+18,apple
1515966223509088690,300.9,appliances.kitchen.oven,2.2681053885555e+18,bosch
1515966223509088691,763.63,electronics.smartphone,2.26810542816651e+18,apple
1515966223509088692,347.2,electronics.smartphone,2.26810542816651e+18,samsung
1515966223509089016,0.9,,2.2681056353819e+18,technodom
1515966223509089017,486.09,appliances.kitchen.dishwasher,2.2681053895873e+18,samsung
1515966223509089020,131.92,electronics.tablet,2.26810542664817e+18,lenovo
1515966223509089021,346.97,electronics.smartphone,2.26810542816651e+18,oppo
1515966223509089023,405.07,appliances.kitchen.washer,2.2681053899564e+18,samsung
